AIRWAY,DESIGNATOR,SEQUENCE,LAT,LON,MAX ALTITUDE,MIN ALTITUDE,WIDTH
L995,RIPDU,8,44°37'21''N,010°28'30''E,FL195,FL95,5 NM
L995,LUPOS,9,44°30'17''N,010°34'53''E,FL195,FL95,5 NM
L995,IPLUB,10,44°14'54''N,010°48'32''E,FL195,FL115,5 NM
L995,LOMED,11,44°01'38''N,011°00'12''E,FL195,FL115,5 NM
L995,KUGIX,12,43°33'08''N,011°21'44''E,FL195,FL95,5 NM
L995,IBRID,13,43°28'40''N,011°25'03''E,FL195,FL95,5 NM
L995,AMTEL,14,43°13'13''N,011°36'31''E,FL195,FL95,5 NM
L995,SOVAN,15,42°50'05''N,011°53'30''E,FL195,FL95,5 NM
L995,GIKIN,16,42°37'06''N,012°02'55''E,FL195,FL95,5 NM
L995,TIBER,17,42°14'56''N,012°35'56''E,FL195,FL105,5 NM
L995,PEMAR,18,42°01'47''N,012°55'10''E,FL195,FL105,5 NM
L995,OKDEB,19,41°54'34''N,013°05'41''E,FL195,FL105,5 NM
L995,INSOX,20,41°49'18''N,013°13'20''E,FL195,FL105,5 NM
L995,ALAXI,21,41°44'05''N,013°20'52''E,FL195,FL105,5 NM
L995,TEANO VOR/DME 'TEA',22,41°17'48''N,013°58'14''E,FL195,FL105,5 NM
L995,IPKAM,23,41°11'27''N,014°39'12''E,FL195,FL105,5 NM
L995,AMSOR,24,41°09'26''N,014°52'09''E,FL195,FL105,5 NM
L995,EKTOL,25,41°06'28''N,015°10'17''E,FL195,FL105,5 NM
L995,DOGUS,26,41°01'12''N,015°42'12''E,FL195,FL105,5 NM
L995,TOPNO,27,40°57'06''N,016°06'28''E,FL195,FL105,5 NM
L995,LUXIL,28,40°49'09''N,016°52'15''E,FL195,FL95,5 NM
L995,ROBOT,29,40°42'35''N,017°28'10''E,FL195,FL95,5 NM
L995,KAPPO,30,40°36'39''N,018°00'10''E,FL195,FL95,5 NM
L995,DAMIC,31,40°27'38''N,018°16'34''E,FL195,FL95,5 NM
L995,ORSOM,32,40°21'57''N,018°26'48''E,FL195,FL95,5 NM
L995,TIGRA,33,40°03'24''N,019°00'00''E,FL195,FL95,5 NM

M126,OSTIA VOR/DME 'OST',1,41°48'14''N,012°14'15''E,FL195,FL95,5 NM
M126,TORLI,2,41°35'48''N,012°01'06''E,FL195,FL95,5 NM
M126,ESINO,3,41°23'05''N,011°47'41''E,FL195,FL95,5 NM
M126,ROXAN,4,40°49'47''N,011°13'02''E,FL195,FL95,5 NM
M126,QUENN,5,40°09'54''N,010°32'37''E,FL195,FL85,5 NM
M126,ALEDI,6,39°36'37''N,009°59'38''E,FL195,FL85,5 NM
M126,LEDRO,7,39°17'03''N,009°40'33''E,FL195,FL85,5 NM
M126,CARBONARA DVOR/DME 'CAR',8,39°06'41''N,009°30'29''E,FL195,FL85,5 NM

M135,LURAG,1,45°31'40''N,007°05'20''E,FL195,FL155,5 NM
M135,VEROB,2,45°17'44''N,007°23'22''E,FL195,FL145,5 NM
M135,TORINO VOR/DME 'TOP',3,44°55'31''N,007°51'42''E,FL195,FL95,5 NM
M135,ASTIG,4,44°56'30''N,008°17'25''E,FL195,FL95,5 NM
M135,DIXER,5,45°04'42''N,009°19'00''E,FL195,FL95,5 NM

M167,ROTAR,1,45°15'46''N,012°59'44''E,FL195,FL65,5 NM
M167,LILEE,2,45°14'30''N,012°55'06''E,FL195,5500ft AMSL,5 NM
M167,BASOG,3,45°07'57''N,012°29'36''E,FL195,5500ft AMSL,5 NM
M167,CHIOGGIA VOR/DME 'CHI',4,45°04'16''N,012°16'53''E,FL195,FL95,5 NM
M167,GOREP,5,44°55'06''N,012°05'59''E,FL195,FL95,5 NM
M167,SUKOM,6,44°33'09''N,011°40'11''E,FL195,FL105,5 NM
M167,OTNUN,7,44°14'49''N,011°16'48''E,FL195,FL105,5 NM
M167,LOMED,8,44°01'38''N,011°00'12''E,FL195,FL105,5 NM

M169,ATRUP,1,42°20'56''N,013°35'44''E,FL195,FL135,5 NM
M169,PESCARA VOR/DME 'PES',2,42°26'09''N,014°11'03''E,FL195,FL75,5 NM
M169,ESODU,3,42°26'34''N,014°19'53''E,FL195,FL75,5 NM
M169,ERPOG,4,42°28'42''N,015°12'09''E,FL195,FL75,5 NM
M169,RIVAM,5,42°29'57''N,015°46'22''E,FL195,FL75,5 NM
M169,KATTI,6,42°30'28''N,016°02'56''E,FL195,FL75,5 NM

M196,AKADO,1,45°20'00''N,012°30'00''E,FL195,FL95,5 NM
M196,KOPER,2,45°09'14''N,011°38'29''E,FL195,FL95,5 NM

M600,AMREX,1,37°58'16''N,017°55'02''E,FL195,FL95,5 NM
M600,SODMO,2,37°43'48''N,017°31'44''E,FL195,FL95,5 NM
M600,ABAKO,3,37°11'02''N,016°39'58''E,FL195,FL105,5 NM
M600,ERNAM,4,36°51'30''N,016°09'45''E,FL195,FL105,5 NM
M600,LORED,5,36°30'00''N,015°37'00''E,FL195,FL105,5 NM

M601,GINOX,1,40°51'44''N,008°00'00''E,FL195,FL95,5 NM
M601,EPIKU,2,40°51'26''N,008°06'35''E,FL195,FL95,5 NM
M601,MALAV,3,40°50'45''N,008°20'44''E,FL195,FL95,5 NM
M601,ORVEX,4,40°40'37''N,008°52'02''E,FL195,FL95,5 NM
M601,QUENN,5,40°09'54''N,010°32'37''E,FL195,FL95,5 NM
M601,VELEX,6,39°57'59''N,011°27'32''E,FL195,FL95,5 NM
M601,RONAB,7,39°52'11''N,011°53'28''E,FL195,FL95,5 NM
M601,DORAS,8,39°35'56''N,013°03'36''E,FL195,FL95,5 NM
M601,AMANO,9,39°25'18''N,013°47'48''E,FL195,FL95,5 NM
M601,NERAR,10,39°18'15''N,014°16'01''E,FL195,FL95,5 NM
M601,CROTONE VOR/DME 'CRN',11,38°59'46''N,017°04'59''E,FL195,FL95,5 NM
M601,ADREN,12,38°50'18''N,017°44'09''E,FL195,FL95,5 NM
M601,TOMGI,13,38°43'05''N,018°13'17''E,FL195,FL95,5 NM
M601,RUTOM,14,38°31'06''N,019°00'00''E,FL195,FL95,5 NM

M603,ELSAG,1,40°36'29''N,008°00'00''E,FL195,FL95,5 NM
M603,ALGHERO VORTAC 'ALG',2,40°37'41''N,008°14'38''E,FL195,FL95,5 NM
M603,ARSIK,3,40°38'44''N,008°27'41''E,FL195,FL95,5 NM
M603,MOROB,4,40°39'57''N,008°43'23''E,FL195,FL95,5 NM
M603,ORVEX,5,40°40'37''N,008°52'02''E,FL195,FL95,5 NM
M603,KOLUS,6,40°43'05''N,009°26'28''E,FL195,FL95,5 NM
M603,IDEPA,7,40°43'42''N,009°34'49''E,FL195,FL95,5 NM
M603,SUKUN,8,40°45'02''N,009°54'40''E,FL195,FL95,5 NM
M603,ATNET,9,40°45'55''N,010°08'08''E,FL195,FL95,5 NM
M603,ROXAN,10,40°49'47''N,011°13'02''E,FL195,FL95,5 NM
M603,POKAV,11,40°50'23''N,011°23'59''E,FL195,FL95,5 NM
M603,TURMO,12,40°51'40''N,011°49'58''E,FL195,FL95,5 NM
M603,ROTUN,13,40°53'00''N,012°18'20''E,FL195,FL95,5 NM
M603,PONZA VORTAC 'PNZ',14,40°54'43''N,012°57'27''E,FL195,FL85,5 NM
M603,ISKIA,15,40°41'27''N,013°53'27''E,FL195,FL85,5 NM
M603,SORRENTO DVOR/DME 'SOR',16,40°34'57''N,014°20'06''E,FL195,FL85,5 NM
M603,KAPPO,17,40°36'39''N,018°00'10''E,FL195,FL95,5 NM
M603,XAPAT,18,40°36'29''N,018°17'26''E,FL195,FL95,5 NM
M603,NUCRE,19,40°36'25''N,018°24'23''E,FL195,FL95,5 NM
M603,GOKEL,20,40°35'54''N,019°00'00''E,FL195,FL95,5 NM

M616,DOBIM,1,42°57'14''N,009°45'00''E,FL195,FL75,5 NM
M616,ELBA VORTAC 'ELB',2,42°43'50''N,010°23'45''E,FL195,FL75,5 NM

M620,UNIXO,1,40°46'31''N,012°40'54''E,FL195,FL95,5 NM
M620,VEXUV,2,40°42'22''N,013°17'59''E,FL195,FL95,5 NM
M620,SORRENTO DVOR/DME 'SOR',3,40°34'57''N,014°20'06''E,FL195,FL85,5 NM
M620,POLIT,4,40°08'48''N,014°50'00''E,FL195,FL85,5 NM
M620,EVINO,5,39°42'47''N,015°19'17''E,FL195,5500ft AMSL,5 NM
M620,ARBUM,6,39°16'43''N,015°48'09''E,FL195,5500ft AMSL,5 NM
M620,SOMAS,7,39°07'35''N,015°58'08''E,FL195,FL95,5 NM
M620,CARAFFA DI CATANZARO VORTAC 'CDC',8,38°45'21''N,016°22'09''E,FL195,FL95,5 NM
M620,RAPIS,9,38°24'12''N,016°35'42''E,FL195,FL95,5 NM
M620,MASOT,10,38°06'08''N,016°47'12''E,FL195,FL95,5 NM
