CASTEL MAGGIORE,PEE3,44°34'25''N,011°21'50''E,FROM BOA VOR: 054°/4NM
CASTELFRANCO VENETO,PHW1,45°40'19''N,011°55'42''E,FROM TES VOR: 295°/20NM FROM TRE L: 291°/8NM
CASTELLAMMARE,CJSW1,38°01'27''N,012°53'05''E,FROM PAL VOR: 266°/14NM FROM PRS VOR: 225°/13NM FROM TRP VOR: 065°/19NM TO Palermo/Punta Raisi AD: 045°/14NM
CASTELLETTO,PBE1,46°30'46''N,011°28'35''E,FROM OZE VOR: 048°/10NM
CASTELLINA MARITTIMA,RPSE1,43°25'19''N,010°33'26''E,FROM PIS VOR/DME: 152°/17NM
CASTELVETRANO,CTSE2,37°40'45''N,012°48'03''E,FROM PAL VOR: 219°/28NM FROM TRP NDB: 132°/20NM FROM TRP VOR: 132°/19NM
CASTIGLIONE DELLA PESCAIA,RSW2,42°46'10''N,010°52'49''E,FROM ELB VOR: 082°/22NM
CASTIONE MARCHESI,MSE2,44°54'30''N,010°03'00''E,FROM BOA VOR: 290°/58NM TO Busseto: 353°/4NM TO Lago di Mignano: 231°/13.5NM
CASTROCARO TERME,PKW1,44°10'15''N,011°56'50''E,FROM FOL VOR/DME: 255°/5NM FROM RIM VOR: 286°/30NM
CAVARZERE,PZS5,45°07'50''N,012°04'50''E,FROM TES VOR: 206°/26NM
CECINA,RPS1,43°18'06''N,010°29'17''E,FROM PIS VOR/DME: 166°/23NM
CEGLIE MESSAPICO,BGNE1,40°38'27''N,017°31'21''E,FROM BCS VOR: 262°/22NM TO Taranto/Grottaglie AD: 215°/9NM
CENTO,PEN1,44°43'43''N,011°17'09''E,FROM BOA VOR: 358°/12NM TO Ansa Reno (PEN3): 167°/7NM
CEPRANO,RHSE1,41°32'00''N,013°32'00''E,FROM LAT VOR/DME: 088°/28NM FROM FRS VOR/DME: 119°/12NM TO Ceccano: 278°/11NM
CERIALE,MGNE1,44°05'47''N,008°13'57''E,FROM ALB VOR: 057°/5NM TO Albenga/Riviera Airport AD: 236°/6NM
CERTOSA,RQS3,43°43'46''N,011°14'17''E,FROM PRT VOR: 160°/5NM
CERVINIA,MMNW3,45°56'13''N,007°37'42''E,FROM SCS VOR: 046°/17NM FROM SVC NDB: 342°/12NM
CEVA,MMSW1,44°23'05''N,008°02'00''E,FROM LEV L: 117°/20NM FROM TOP VOR: 166°/33NM
CHATILLON,MMNW4,45°44'52''N,007°37'18''E,FROM SCS VOR: 089°/12NM FROM SVC NDB: 272°/4NM
CHIETI,BPSW1,42°21'00''N,014°10'30''E,FROM PES VOR: 183°/5NM
CHIOGGIA,PZS4,45°13'03''N,012°17'14''E,FROM TES VOR: 189°/18NM
CHIUSAFORTE,PPNE6,46°24'30''N,013°18'30''E,FROM RIV NDB: 026°/32NM FROM VIW VOR: 234°/30NM
CHIVASSO,MFE2,45°11'20''N,007°53'28''E,FROM CSL VOR: 099°/10NM FROM TOP VOR: 004°/16NM
CINIGIANO,RSNE3,42°52'46''N,011°25'36''E,FROM GRO VOR: 064°/17NM
CITTADUCALE,QNSE1,42°23'10''N,012°56'54''E,FROM CMP VOR: 058°/30NM FROM ROM VOR: 024°/38NM
CIVEZZANO,DTNE1,46°05'22''N,011°11'08''E,FROM VIC VOR: 321°/34NM
CIVITANOVA,PYSE2,43°18'50''N,013°43'50''E,FROM ANC VOR: 143°/20NM
CIVITELLA MARITTIMA,RSNE2,42°59'35''N,011°17'23''E,FROM GRO VOR: 032°/17NM
CLUSONE,MMNE3,45°53'25''N,009°56'43''E,FROM BRL VOR: 037°/17NM FROM SRN VOR: 068°/41NM FROM TZO VOR: 042°/27NM
COGOLETO,MJW1,44°23'22''N,008°38'33''E,FROM ALB VOR: 046°/30NM FROM GEN VOR: 263°/19NM FROM SES VOR: 257°/8NM
COLICO,MMN8,46°08'10''N,009°22'08''E,FROM BRL VOR: 332°/31NM FROM SRN VOR: 025°/33 FROM TZO VOR: 349°/35NM
