ICAO,Type,Size,Name,Latitude,Longitude,Elevation(ft),Region,Municipality,IATA
,airport,small,Aviosuperficie Vigarolo,45.2175,9.466667,220,Lombardy,Borghetto Lodigiano (LO),
,airport,small,Campo di Volo AliVara,44.227697,9.720077,311,Liguria,Borghetto Vara (SP),
,airport,small,Aviosuperficie Collina,43.988371,11.389562,951,Tuscany,Borgo San Lorenzo (FI),
,airport,small,Aviosuperficie Angelo D'Arrigo,37.799561,15.22775,197,Sicily,Calatabiano (CT),
,airport,small,Campo Di Volo Camerana (alta langa),44.411152,8.120849,627,Piedmont,Camerana,
,airport,small,Mazarack Flying Field,45.639444,12.943611,,Veneto,Caorle,
LIAT,airport,small,Aviosuperficie Valdera/Capannoli,43.5919444444,10.6955555556,39,Tuscany,Capannoli,
,airport,small,"Campo di Volo ""Delta Team Lucca""",43.784226,10.603388,24,Tuscany,Capannori (LU),
,airport,small,Aviosuperficie Cascina Colombare,45.496667,8.527167,558,Piedmont,Casaleggio (NO),
,airport,small,Campo di Volo Casalfiumanese,44.28966,11.625632,,Emilia-Romagna,Casalfiumanese,
,airport,small,Aviosuperficie Gragnano,45,9.581999,285,Emilia-Romagna,Casaliggio di Gragnano (PC),
,airport,small,Aviosuperficie Baialupo,45.5529,9.50567,489,Lombardy,Cassano d'Adda (MI),
,airport,small,Campo di Volo L'ELIKA,44.88293,7.56105,,Piedmont,Castagnole Piemonte (TO),
,airport,small,"Campo di Volo ""Bosio Guido""",44.434194,7.632258,1499,Piedmont,Castelletto Stura (CN),
,airport,small,Aviosuperficie Castigliano del Lago,43.134212,12.03425,,Umbria,Castigliano del Lago (PG),
,airport,small,"Agriturismo ""Podere Santa Apollonia""",43.295278,11.907222,810,Tuscany,Castiglion Fiorentino (AR),
LIQQ,airport,small,Aviosuperficie Serristori,43.332147,11.858067,859,Tuscany,Castiglion Fiorentino (AR),
,airport,small,"Aviosuperficie ""Punta Ala""",42.842172,10.82307,,Tuscany,Castiglione Della Pescaia (GR),
